id,name
1161,quicksilver
1162,ravendb
1163,red brick intelligent sql
1164,redis
1165,riak
1166,sap db
1167,shareplex
1168,sql azure
1169,sqlbase
1170,sqlite
1171,ssas tabular
1172,static database management system
1173,sybase adaptive server enterprise
1174,sybase adaptive server iq multiplex
1175,sybase mobilink
1176,sybase sql anywhere studio
1177,sybase sql server
1178,sybase ultralite
1179,system r
1180,tamino
1181,teradata
1182,uds/sql
1183,unify
1184,versant
1185,very large database
1186,virtual storage access method
1187,vsam
1188,watcom sql
1189,wonderware insql
1190,xbase
1191,zodb
1192,4th dimension
1193,acu-bench
1194,ads/online
1195,advanced query tool
1196,advantage:gen
1197,adw
1198,aircom asset
1199,akka actors
1200,akka toolkit
1201,aldec activehdl
1202,allegro
1203,allfusion gen
1204,altera quartus-ii
1205,altova mapforce
1206,amazon redshift
1207,anaconda
1208,android sdk
1209,android studio
1210,andromda
1211,angular
1212,angular 2
1213,angular 4
1214,angular 5
1215,angular 6
1216,angular 7
1217,angular 8
1218,angular cli
1219,angular elements
1220,angulardart
1221,angularjs
1222,antlr
1223,apache ambari
1224,apache ant
1225,apache batik
1226,apache cordova
1227,apache crunch
1228,apache flume
1229,apache hive
1230,apache nifi
1231,apache sqoop
1232,appbuilder
1233,appcelerator titanium
1234,appium
1235,apple pay
1236,apple webobjects 5
1237,appman
1238,aps - application productivity system
1239,arcore
1240,argouml
1241,arm template
1242,as/set
1243,asp.net signalr
1244,assembler mc6809
1245,atlassian bitbucket
1246,attunity
1247,author-it
1248,autofac
1249,autoprefixer
1250,autotest
1251,aws batch
1252,aws cloudformation
1253,aws database migration service
1254,aws lambda
1255,axure rp
1256,baan tools
1257,backbone.js
1258,balsamiq mockups
1259,bea visual café
1260,behat
1261,bem
1262,blazor
1263,board station
1264,bootstrap
1265,borland c++
1266,borland jbuilder
1267,borland turbo c
1268,borland turbo pascal
1269,borland turbo prolog
1270,bower
1271,breeze.js
1272,brew sdk
1273,brew tools
1274,bts
1275,bugtracker
1276,bugzilla
1277,c/side
1278,c++ builder
1279,ca gen
1280,ca librarian
1281,ca test data manager
1282,cacti
1283,cactus
1284,cadence
1285,calypso automated testing tool
1286,canoo webtest
1287,case 2000
1288,casestudio
1289,castle windsor ioc
1290,cat tool
1291,cat@log
1292,catalyst
1293,ca-telon
1294,ccc harvest
1295,centura sql windows
1296,ceph
1297,chai
1298,chart.js
1299,cics websupport
1300,cl
1301,clear case
1302,clear quest
1303,cm synergy
1304,cmake
1305,cocoa interface builder
1306,cocoapods
1307,code composer studio
1308,code warrior
1309,codegear delphi
1310,codegear rad
1311,codesniffer
1312,communicating sequential processes csp
1313,composite application library
1314,compuware qacenter
1315,compuware qadirector
1316,compuware qarun
1317,compuware reconcile
1318,compuware trackrecord
1319,consurrent versions system
1320,continuus
1321,cool:2e
1322,cool:biz
1323,cool:gen
1324,cool:plex
1325,coredata
1326,coreimage
1327,cpanel
1328,create.js
1329,cruisecontrol
1330,cruisecontrol.net
1331,cryengine
1332,crystal reports
1333,css grids
1334,cucumber
1335,cypress
1336,d3.js
1337,datamanager - visual soft
1338,datamapper
1339,db2adm
1340,dbix::class
1341,dbunit
1342,delphi.net
1343,design architect
1344,design compiler
1345,design/1
1346,designer-2000
1347,developer-2000
1348,devexpress .net components
1349,devexpress components
1350,devexpress delphi components
1351,devexpress xaf
1352,devexpress xpo
1353,devtrack
1354,dezign for databases
1355,dfsort
1356,dirsync
1357,dita open toolkit
1358,doctrine
1359,dojo
1360,dottrace
1361,dox10
1362,doxygen
1363,dps
1364,dragonfly
1365,durandaljs
1366,dynamic html
